,Municipality,Longitude,Latitude
0,?ejere K'elni Kue 196I,-111.47,59.52
1,105 Mile Post 2,-121.31,50.73
2,10th Line Shore,-76.15,45.09
3,12 Wing Shearwater,-63.51,44.63
4,12e Escadre Shearwater,-63.51,44.63
5,141 Mile House,-121.85,52.0
6,150 Mile House,-121.85,52.11
7,17 Wing Winnipeg,-97.23,49.88
8,17e Escadre Winnipeg,-97.23,49.88
9,4 1/2 Mile 2,-121.41,49.6
10,93 Mile,-121.33,51.56
11,A Kwis Ki Mahka,-94.71,56.34
12,Aass 3,-126.82,49.61
13,Abana,-79.33,48.95
14,Abbeydale,-114.93,51.05
15,Abbott's Corner,-72.79,45.03
16,Abbottsfield,-113.38,53.56
17,Abee,-113.02,54.23
18,Abénakis,-70.82,46.58
19,Aberarder,-82.09,43.05
20,Aberfeldy,-81.93,42.75
21,Abingdon,-79.68,43.08
22,Abitibi,-80.88,49.02
23,Abitibi 70,-79.97,48.63
24,Abitibi Canyon,-81.57,49.87
25,Abrams River,-65.94,43.82
26,Abrams Village,-64.08,46.45
27,Abuntlet Lake 4,-125.4,52.57
28,Acaciaville,-65.76,44.58
29,Acadia,-114.05,50.96
30,Achill,-79.91,44.01
31,Actons Corners,-75.71,44.98
32,Adams Gulch,-67.04,47.83
33,Adamsdale,-80.9,46.48
34,Adamsville,-65.18,46.39
37,Adanac,-80.205,46.195
39,Addington Forks,-62.08,45.56
40,Addington Highlands,-77.31,44.93
41,Addison,-75.88,44.66
42,Adelaide,-81.71,43.0
43,Adelaide Metcalfe,-81.71,42.94
44,Adelaide Park,-106.64,52.09
45,Adeytown,-53.93,48.07
46,Adjala-Tosorontio,-79.93,44.13
47,Admaston,-76.81,45.47
48,Admaston/Bromley,-76.89,45.52
49,Admiral Rock,-63.4,45.17
50,Admiral's Cove,-52.9,47.09
51,Adolphustown,-77.0,44.06
52,Adstock,-71.08,46.05
53,Advance,-82.42,45.86
54,Aetna,-113.24,49.13
55,Afton,-61.71,45.6
57,Agassiz,-121.76,49.23
58,Agats Meadow 8,-124.16,52.28
59,Agawa Bay,-84.62,47.34
60,Agency 1,-93.36,48.62
61,Agency 30,-94.61,49.36
62,Agerton,-79.8,43.55
63,Aghaming,-96.28,51.18
64,Agincourt,-79.28,43.79
65,Agincourt North,-79.26,43.8
66,Aglakumna 4A,-126.65,50.55
67,Aglakumna-la 2,-126.51,50.57
68,Aguanish,-62.08,50.21
69,Agwedin 3,-127.68,55.38
70,Ahahswinis 1,-124.82,49.26
71,Ahaminaquus 12,-126.11,49.68
72,Ahmacinnit 3,-127.39,50.01
73,Ahmic Harbour,-79.77,45.66
74,Ahmic Lake,-79.68,45.62
75,Ahmitsa 5,-125.05,48.96
76,Ahnuhati 6,-125.64,50.89
77,Ahous 16,-126.02,49.16
78,Ahpokum 9,-124.58,50.24
79,Ahpukto 3,-126.94,49.81
80,Ahta 3,-126.16,50.87
81,Ahtahkakoop 104,-106.9,53.38
82,Ahuk 1,-124.88,48.7
83,Ahuntsic-Cartierville,-73.66,45.55
84,Ah-we-cha-ol-to 16,-127.97,50.53
85,Aikwucks 15,-123.16,49.76
86,Aillik,-59.2,55.21
87,Ain 6,-132.42,53.73
88,Ainslie Glen,-61.13,46.02
89,Ainsworth Hot Springs,-116.91,49.73
90,Air Ronge,-105.34,55.08
91,Airlie,-80.0,44.26
92,Airy,-78.25,45.49
93,Aitchelitch 9,-121.99,49.14
94,Ak:tiis,-127.39,50.01
95,Akinsdale,-113.59,53.62
96,Akwesasne 59,-74.56,45.04
97,Akwesasne Reserve 15,-74.56,45.01
98,Alalco 8,-126.52,51.05
99,Alastair 80,-129.17,54.13
100,Alastair 81,-129.17,54.1
101,Alastair 82,-129.19,54.06
102,Alba,-61.0,45.93
