Municipality,Province - Territory,Latitude,Longitude
?ejere K'elni Kue 196I,Alberta,59.52,-111.47
105 Mile Post 2,British Columbia,50.73,-121.31
10th Line Shore,Ontario,45.09,-76.15
12 Wing Shearwater,Nova Scotia,44.63,-63.51
12e Escadre Shearwater,Nova Scotia,44.63,-63.51
141 Mile House,British Columbia,52,-121.85
150 Mile House,British Columbia,52.11,-121.85
17 Wing Winnipeg,Manitoba,49.88,-97.23
17e Escadre Winnipeg,Manitoba,49.88,-97.23
4 1/2 Mile 2,British Columbia,49.6,-121.41
93 Mile,British Columbia,51.56,-121.33
A Kwis Ki Mahka,Manitoba,56.34,-94.71
Aass 3,British Columbia,49.61,-126.82
Abana,Quebec,48.95,-79.33
Abbeydale,Alberta,51.05,-114.93
Abbott's Corner,Quebec,45.03,-72.79
Abbottsfield,Alberta,53.56,-113.38
Abee,Alberta,54.23,-113.02
Abénakis,Quebec,46.58,-70.82
Aberarder,Ontario,43.05,-82.09
Aberfeldy,Ontario,42.75,-81.93
Abingdon,Ontario,43.08,-79.68
Abitibi,Ontario,49.02,-80.88
Abitibi 70,Ontario,48.63,-79.97
Abitibi Canyon,Ontario,49.87,-81.57
Abrams River,Nova Scotia,43.82,-65.94
Abrams Village,Prince Edward Island,46.45,-64.08
Abuntlet Lake 4,British Columbia,52.57,-125.4
Acaciaville,Nova Scotia,44.58,-65.76
Acadia,Alberta,50.96,-114.05
Achill,Ontario,44.01,-79.91
Actons Corners,Ontario,44.98,-75.71
Adams Gulch,New Brunswick,47.83,-67.04
Adamsdale,Ontario,46.48,-80.9
Adamsville,New Brunswick,46.39,-65.18
Adamsville,Ontario,44.85,-81.16
Adamsville,Quebec,45.27,-72.78
Adanac,Ontario,46.195,-80.205
Adanac,Saskatchewan,52.45,-109.05
Addington Forks,Nova Scotia,45.56,-62.08
Addington Highlands,Ontario,44.93,-77.31
Addison,Ontario,44.66,-75.88
Adelaide,Ontario,43,-81.71
Adelaide Metcalfe,Ontario,42.94,-81.71
Adelaide Park,Saskatchewan,52.09,-106.64
Adeytown,Newfoundland and Labrador,48.07,-53.93
Adjala-Tosorontio,Ontario,44.13,-79.93
Admaston,Ontario,45.47,-76.81
Admaston/Bromley,Ontario,45.52,-76.89
Admiral Rock,Nova Scotia,45.17,-63.4
Admiral's Cove,Newfoundland and Labrador,47.09,-52.9
Adolphustown,Ontario,44.06,-77
Adstock,Quebec,46.05,-71.08
Advance,Ontario,45.86,-82.42
Aetna,Alberta,49.13,-113.24
Afton,Nova Scotia,45.6,-61.71
Afton,Prince Edward Island,46.17,-63.2
Agassiz,British Columbia,49.23,-121.76
Agats Meadow 8,British Columbia,52.28,-124.16
Agawa Bay,Ontario,47.34,-84.62
Agency 1,Ontario,48.62,-93.36
Agency 30,Ontario,49.36,-94.61
Agerton,Ontario,43.55,-79.8
Aghaming,Manitoba,51.18,-96.28
Agincourt,Ontario,43.79,-79.28
Agincourt North,Ontario,43.8,-79.26
Aglakumna 4A,British Columbia,50.55,-126.65
Aglakumna-la 2,British Columbia,50.57,-126.51
Aguanish,Quebec,50.21,-62.08
Agwedin 3,British Columbia,55.38,-127.68
Ahahswinis 1,British Columbia,49.26,-124.82
Ahaminaquus 12,British Columbia,49.68,-126.11
Ahmacinnit 3,British Columbia,50.01,-127.39
Ahmic Harbour,Ontario,45.66,-79.77
Ahmic Lake,Ontario,45.62,-79.68
Ahmitsa 5,British Columbia,48.96,-125.05
Ahnuhati 6,British Columbia,50.89,-125.64
Ahous 16,British Columbia,49.16,-126.02
Ahpokum 9,British Columbia,50.24,-124.58
Ahpukto 3,British Columbia,49.81,-126.94
Ahta 3,British Columbia,50.87,-126.16
Ahtahkakoop 104,Saskatchewan,53.38,-106.9
Ahuk 1,British Columbia,48.7,-124.88
