Municipality,Longitude,Latitude
?ejere K'elni Kue 196I,-111.47,59.52
105 Mile Post 2,-121.31,50.73
10th Line Shore,-76.15,45.09
12 Wing Shearwater,-63.51,44.63
12e Escadre Shearwater,-63.51,44.63
141 Mile House,-121.85,52.0
150 Mile House,-121.85,52.11
17 Wing Winnipeg,-97.23,49.88
17e Escadre Winnipeg,-97.23,49.88
4 1/2 Mile 2,-121.41,49.6
93 Mile,-121.33,51.56
A Kwis Ki Mahka,-94.71,56.34
Aass 3,-126.82,49.61
Abana,-79.33,48.95
Abbeydale,-114.93,51.05
Abbott's Corner,-72.79,45.03
Abbottsfield,-113.38,53.56
Abee,-113.02,54.23
Abénakis,-70.82,46.58
Aberarder,-82.09,43.05
Aberfeldy,-81.93,42.75
Abingdon,-79.68,43.08
Abitibi,-80.88,49.02
Abitibi 70,-79.97,48.63
Abitibi Canyon,-81.57,49.87
Abrams River,-65.94,43.82
Abrams Village,-64.08,46.45
Abuntlet Lake 4,-125.4,52.57
Acaciaville,-65.76,44.58
Acadia,-114.05,50.96
Achill,-79.91,44.01
Actons Corners,-75.71,44.98
Adams Gulch,-67.04,47.83
Adamsdale,-80.9,46.48
Adamsville,-65.18,46.39
Adanac,-80.205,46.195
Addington Forks,-62.08,45.56
Addington Highlands,-77.31,44.93
Addison,-75.88,44.66
Adelaide,-81.71,43.0
Adelaide Metcalfe,-81.71,42.94
Adelaide Park,-106.64,52.09
Adeytown,-53.93,48.07
Adjala-Tosorontio,-79.93,44.13
Admaston,-76.81,45.47
Admaston/Bromley,-76.89,45.52
Admiral Rock,-63.4,45.17
Admiral's Cove,-52.9,47.09
Adolphustown,-77.0,44.06
Adstock,-71.08,46.05
Advance,-82.42,45.86
Aetna,-113.24,49.13
Afton,-61.71,45.6
Agassiz,-121.76,49.23
Agats Meadow 8,-124.16,52.28
Agawa Bay,-84.62,47.34
Agency 1,-93.36,48.62
Agency 30,-94.61,49.36
Agerton,-79.8,43.55
Aghaming,-96.28,51.18
Agincourt,-79.28,43.79
Agincourt North,-79.26,43.8
Aglakumna 4A,-126.65,50.55
Aglakumna-la 2,-126.51,50.57
Aguanish,-62.08,50.21
Agwedin 3,-127.68,55.38
Ahahswinis 1,-124.82,49.26
Ahaminaquus 12,-126.11,49.68
Ahmacinnit 3,-127.39,50.01
Ahmic Harbour,-79.77,45.66
Ahmic Lake,-79.68,45.62
Ahmitsa 5,-125.05,48.96
Ahnuhati 6,-125.64,50.89
Ahous 16,-126.02,49.16
Ahpokum 9,-124.58,50.24
Ahpukto 3,-126.94,49.81
Ahta 3,-126.16,50.87
Ahtahkakoop 104,-106.9,53.38
Ahuk 1,-124.88,48.7
Ahuntsic-Cartierville,-73.66,45.55
Ah-we-cha-ol-to 16,-127.97,50.53
Aikwucks 15,-123.16,49.76
Aillik,-59.2,55.21
Ain 6,-132.42,53.73
Ainslie Glen,-61.13,46.02
Ainsworth Hot Springs,-116.91,49.73
Air Ronge,-105.34,55.08
Airlie,-80.0,44.26
Airy,-78.25,45.49
Aitchelitch 9,-121.99,49.14
Ak:tiis,-127.39,50.01
Akinsdale,-113.59,53.62
Akwesasne 59,-74.56,45.04
Akwesasne Reserve 15,-74.56,45.01
Alalco 8,-126.52,51.05
Alastair 80,-129.17,54.13
Alastair 81,-129.17,54.1
Alastair 82,-129.19,54.06
Alba,-61.0,45.93
Albany,-65.05,44.77
Albany Cross,-65.02,44.72
Albany New,-65.08,44.45
Alberni,-124.8,49.25
Alberni 2,-124.81,49.21
Albert,-77.13,44.31
Albert Bridge,-60.05,46.01
Albert Flat 5,-121.41,49.51
Albert Head,-123.5,48.39
Albert Head Battery Point Training Area,-123.48,48.38
Albert Mines,-64.66,45.87
Albert Park,-104.63,50.4
