Municipality,Latitude,Longitude
?ejere K'elni Kue 196I,59.52,-111.47
105 Mile Post 2,50.73,-121.31
10th Line Shore,45.09,-76.15
12 Wing Shearwater,44.63,-63.51
12e Escadre Shearwater,44.63,-63.51
141 Mile House,52,-121.85
150 Mile House,52.11,-121.85
17 Wing Winnipeg,49.88,-97.23
17e Escadre Winnipeg,49.88,-97.23
4 1/2 Mile 2,49.6,-121.41
93 Mile,51.56,-121.33
A Kwis Ki Mahka,56.34,-94.71
Aass 3,49.61,-126.82
Abana,48.95,-79.33
Abbeydale,51.05,-114.93
Abbott's Corner,45.03,-72.79
Abbottsfield,53.56,-113.38
Abee,54.23,-113.02
Abénakis,46.58,-70.82
Aberarder,43.05,-82.09
Aberfeldy,42.75,-81.93
Abingdon,43.08,-79.68
Abitibi,49.02,-80.88
Abitibi 70,48.63,-79.97
Abitibi Canyon,49.87,-81.57
Abrams River,43.82,-65.94
Abrams Village,46.45,-64.08
Abuntlet Lake 4,52.57,-125.4
Acaciaville,44.58,-65.76
Acadia,50.96,-114.05
Achill,44.01,-79.91
Actons Corners,44.98,-75.71
Adams Gulch,47.83,-67.04
Adamsdale,46.48,-80.9
Adamsville,46.39,-65.18
Adamsville,44.85,-81.16
Adamsville,45.27,-72.78
Adanac,46.195,-80.205
Adanac,52.45,-109.05
Addington Forks,45.56,-62.08
Addington Highlands,44.93,-77.31
Addison,44.66,-75.88
Adelaide,43,-81.71
Adelaide Metcalfe,42.94,-81.71
Adelaide Park,52.09,-106.64
Adeytown,48.07,-53.93
Adjala-Tosorontio,44.13,-79.93
Admaston,45.47,-76.81
Admaston/Bromley,45.52,-76.89
Admiral Rock,45.17,-63.4
Admiral's Cove,47.09,-52.9
Adolphustown,44.06,-77
Adstock,46.05,-71.08
Advance,45.86,-82.42
Aetna,49.13,-113.24
Afton,45.6,-61.71
Afton,46.17,-63.2
Agassiz,49.23,-121.76
Agats Meadow 8,52.28,-124.16
Agawa Bay,47.34,-84.62
Agency 1,48.62,-93.36
Agency 30,49.36,-94.61
Agerton,43.55,-79.8
Aghaming,51.18,-96.28
Agincourt,43.79,-79.28
Agincourt North,43.8,-79.26
Aglakumna 4A,50.55,-126.65
Aglakumna-la 2,50.57,-126.51
Aguanish,50.21,-62.08
Agwedin 3,55.38,-127.68
Ahahswinis 1,49.26,-124.82
Ahaminaquus 12,49.68,-126.11
Ahmacinnit 3,50.01,-127.39
Ahmic Harbour,45.66,-79.77
Ahmic Lake,45.62,-79.68
Ahmitsa 5,48.96,-125.05
Ahnuhati 6,50.89,-125.64
Ahous 16,49.16,-126.02
Ahpokum 9,50.24,-124.58
Ahpukto 3,49.81,-126.94
Ahta 3,50.87,-126.16
Ahtahkakoop 104,53.38,-106.9
Ahuk 1,48.7,-124.88
Ahuntsic-Cartierville,45.55,-73.66
Ah-we-cha-ol-to 16,50.53,-127.97
