Municipality,Province,Latitude,Longitude,Month,Mean daily global insolation (kWh/m2) : S WITH 90,Mean daily global insolation (kWh/m2): S WITH LAT,Mean daily global insolation (kWh/m2): S WITH LAT + 15,Mean daily global insolation (kWh/m2): S WITH LAT - 15,Mean daily global insolation (kWh/m2): 2 AXIS TRACK,Mean daily global insolation (kWh/m2): S WITH 0
?utselk'e,Northwest,62.4,-110.74,Annual,3.4,4,3.76,4.05,6.15,2.9
?utselk'e,Northwest,62.4,-110.74,April,5.84,6.86,6.43,6.95,10.29,4.61
?utselk'e,Northwest,62.4,-110.74,August,3.52,4.62,4.13,4.91,7.68,4.05
?utselk'e,Northwest,62.4,-110.74,December,1.23,1.13,1.22,0.97,1.27,0.15
?utselk'e,Northwest,62.4,-110.74,February,3.95,3.83,3.99,3.45,4.56,1.05
?utselk'e,Northwest,62.4,-110.74,January,2.12,1.97,2.1,1.71,2.24,0.31
?utselk'e,Northwest,62.4,-110.74,July,3.61,5.11,4.39,5.64,9.75,5.71
?utselk'e,Northwest,62.4,-110.74,June,3.72,5.32,4.54,5.91,10.46,6.3
?utselk'e,Northwest,62.4,-110.74,March,6,6.26,6.26,5.93,8.2,2.69
?utselk'e,Northwest,62.4,-110.74,May,4.43,5.89,5.2,6.32,10.33,5.86
?utselk'e,Northwest,62.4,-110.74,November,1.54,1.47,1.54,1.31,1.67,0.4
?utselk'e,Northwest,62.4,-110.74,October,1.88,1.97,1.97,1.87,2.41,1.14
?utselk'e,Northwest,62.4,-110.74,September,3.05,3.55,3.35,3.56,4.9,2.4
Aklavik,Northwest,68.22,-135.01,Annual,2.84,3.3,3.02,3.42,5.05,2.48
Aklavik,Northwest,68.22,-135.01,April,5.69,6.44,6,6.53,9.54,4.09
Aklavik,Northwest,68.22,-135.01,August,3.31,4.04,3.59,4.29,6.13,3.47
Aklavik,Northwest,68.22,-135.01,December,0.11,0.11,0.11,0.09,0.11,0.03
Aklavik,Northwest,68.22,-135.01,February,2.17,2.13,2.18,1.95,2.41,0.53
Aklavik,Northwest,68.22,-135.01,January,0.26,0.24,0.26,0.22,0.26,0.07
Aklavik,Northwest,68.22,-135.01,July,3.91,5.03,4.3,5.51,8.83,5.11
Aklavik,Northwest,68.22,-135.01,June,4.39,5.72,4.84,6.32,10.64,6.14
Aklavik,Northwest,68.22,-135.01,March,5.01,5.21,5.14,4.98,6.62,1.96
Aklavik,Northwest,68.22,-135.01,May,4.86,6,5.26,6.44,10.16,5.59
Aklavik,Northwest,68.22,-135.01,November,0.44,0.43,0.44,0.4,0.47,0.12
Aklavik,Northwest,68.22,-135.01,October,1.46,1.5,1.49,1.43,1.68,0.61
Aklavik,Northwest,68.22,-135.01,September,2.45,2.75,2.57,2.78,3.58,1.88
Akulivik,Quebec,60.8,-78.2,Annual,3.4,3.93,3.74,3.95,5.57,2.89
Akulivik,Quebec,60.8,-78.2,April,6.4,7.24,6.96,7.21,10.43,4.99
Akulivik,Quebec,60.8,-78.2,August,3.04,4.02,3.59,4.27,6.01,3.81
Akulivik,Quebec,60.8,-78.2,December,0.99,0.92,0.99,0.81,1.05,0.22
Akulivik,Quebec,60.8,-78.2,February,4.35,4.24,4.42,3.82,5.04,1.32
Akulivik,Quebec,60.8,-78.2,January,2.02,1.89,2.02,1.65,2.17,0.42
Akulivik,Quebec,60.8,-78.2,July,3.24,4.63,3.99,5.09,7.76,5.2
Akulivik,Quebec,60.8,-78.2,June,3.73,5.29,4.57,5.81,8.94,5.96
Akulivik,Quebec,60.8,-78.2,March,6.19,6.43,6.48,6.05,8.3,3.1
Akulivik,Quebec,60.8,-78.2,May,4.87,6.03,5.53,6.31,9.29,5.81
Akulivik,Quebec,60.8,-78.2,November,1.43,1.38,1.44,1.25,1.54,0.43
Akulivik,Quebec,60.8,-78.2,October,2.13,2.23,2.23,2.11,2.55,1.07
Akulivik,Quebec,60.8,-78.2,September,2.54,2.95,2.78,2.99,3.73,2.24
