Prediction,Actual,Error %,,Average Error %
4.6,3.71,23.98921833,,1.969878719
4.6,3.71,23.98921833,,
4.26,4.39,2.961275626,,
4.26,4.39,2.961275626,,
4.26,4.48,4.910714286,,
4.26,4.48,4.910714286,,
4.72,4.63,1.943844492,,
4.72,4.63,1.943844492,,
4.64,4.73,1.902748414,,
4.64,4.73,1.902748414,,
4.86,4.74,2.53164557,,
4.86,4.74,2.53164557,,
6.04,4.84,24.79338843,,
6.04,4.84,24.79338843,,
5.01,4.87,2.874743326,,
5.01,4.87,2.874743326,,
4.9,4.91,0.203665988,,
4.9,4.91,0.203665988,,
4.86,4.94,1.619433198,,
4.86,4.94,1.619433198,,
5.02,4.95,1.414141414,,
5.02,4.95,1.414141414,,
5.39,4.96,8.669354839,,
5.39,4.96,8.669354839,,
5.43,4.96,9.475806452,,
5.43,4.96,9.475806452,,
4.9,4.99,1.803607214,,
4.9,4.99,1.803607214,,
4.99,5.03,0.795228628,,
4.99,5.03,0.795228628,,
5.06,5.06,0,,
5.06,5.06,0,,
4.47,5.09,12.18074656,,
4.47,5.09,12.18074656,,
5.43,5.09,6.679764244,,
5.43,5.09,6.679764244,,
5.3,5.1,3.921568627,,
5.3,5.1,3.921568627,,
4.99,5.1,2.156862745,,
4.99,5.1,2.156862745,,
4.9,5.12,4.296875,,
4.9,5.12,4.296875,,
5.3,5.12,3.515625,,
5.3,5.12,3.515625,,
4.64,5.13,9.55165692,,
4.64,5.13,9.55165692,,
5.19,5.16,0.581395349,,
5.19,5.16,0.581395349,,
6.03,5.2,15.96153846,,
6.03,5.2,15.96153846,,
5.31,5.22,1.724137931,,
5.31,5.22,1.724137931,,
5.22,5.22,0,,
5.22,5.22,0,,
4.6,5.22,11.87739464,,
4.6,5.22,11.87739464,,
5.22,5.22,0,,
5.22,5.22,0,,
5.37,5.23,2.676864245,,
5.37,5.23,2.676864245,,
5.35,5.23,2.294455067,,
5.35,5.23,2.294455067,,
5.35,5.24,2.099236641,,
5.35,5.24,2.099236641,,
5.35,5.25,1.904761905,,
5.35,5.25,1.904761905,,
5.57,5.27,5.69259962,,
5.57,5.27,5.69259962,,
5.23,5.27,0.759013283,,
5.23,5.27,0.759013283,,
5.06,5.29,4.347826087,,
5.06,5.29,4.347826087,,
5.49,5.3,3.58490566,,
5.49,5.3,3.58490566,,
5.43,5.31,2.259887006,,
5.43,5.31,2.259887006,,
5.72,5.33,7.317073171,,
5.72,5.33,7.317073171,,
5.48,5.33,2.814258912,,
5.48,5.33,2.814258912,,
6.08,5.34,13.8576779,,
6.08,5.34,13.8576779,,
5.22,5.36,2.611940299,,
5.22,5.36,2.611940299,,
5.23,5.37,2.60707635,,
5.23,5.37,2.60707635,,
5.51,5.39,2.226345083,,
5.51,5.39,2.226345083,,
6.04,5.39,12.0593692,,
6.04,5.39,12.0593692,,
5.37,5.4,0.555555556,,
5.37,5.4,0.555555556,,
5.38,5.43,0.920810313,,
5.38,5.43,0.920810313,,
5.69,5.43,4.788213628,,
5.69,5.43,4.788213628,,
5.57,5.44,2.389705882,,
5.57,5.44,2.389705882,,
5.55,5.44,2.022058824,,
5.55,5.44,2.022058824,,
5.57,5.44,2.389705882,,
5.57,5.44,2.389705882,,
5.7,5.45,4.587155963,,
5.7,5.45,4.587155963,,
5.82,5.45,6.788990826,,
5.82,5.45,6.788990826,,
5.63,5.46,3.113553114,,
5.63,5.46,3.113553114,,
5.67,5.46,3.846153846,,
5.67,5.46,3.846153846,,
5.26,5.47,3.839122486,,
5.26,5.47,3.839122486,,
5.77,5.48,5.291970803,,
5.77,5.48,5.291970803,,
5.81,5.48,6.02189781,,
5.81,5.48,6.02189781,,
5.54,5.48,1.094890511,,
5.54,5.48,1.094890511,,
5.54,5.49,0.910746812,,
5.54,5.49,0.910746812,,
5.46,5.49,0.546448087,,
5.46,5.49,0.546448087,,
5.57,5.5,1.272727273,,
5.57,5.5,1.272727273,,
5.54,5.5,0.727272727,,
5.54,5.5,0.727272727,,
5.47,5.5,0.545454545,,
5.47,5.5,0.545454545,,
5.35,5.5,2.727272727,,
5.35,5.5,2.727272727,,
5.52,5.51,0.181488203,,
5.52,5.51,0.181488203,,
5.6,5.52,1.449275362,,
5.6,5.52,1.449275362,,
5.8,5.53,4.882459313,,
5.8,5.53,4.882459313,,
5.8,5.53,4.882459313,,
5.8,5.53,4.882459313,,
5.48,5.53,0.904159132,,
5.48,5.53,0.904159132,,
5.52,5.54,0.36101083,,
5.52,5.54,0.36101083,,
5.37,5.54,3.068592058,,
5.37,5.54,3.068592058,,
5.57,5.54,0.541516245,,
5.57,5.54,0.541516245,,
5.78,5.54,4.332129964,,
5.78,5.54,4.332129964,,
5.58,5.54,0.722021661,,
5.58,5.54,0.722021661,,
5.93,5.55,6.846846847,,
5.93,5.55,6.846846847,,
5.06,5.55,8.828828829,,
5.06,5.55,8.828828829,,
5.69,5.56,2.338129496,,
5.69,5.56,2.338129496,,
5.77,5.56,3.776978417,,
5.77,5.56,3.776978417,,
5.23,5.56,5.935251799,,
5.23,5.56,5.935251799,,
5.52,5.56,0.71942446,,
5.52,5.56,0.71942446,,
5.54,5.56,0.35971223,,
5.54,5.56,0.35971223,,
5.72,5.59,2.325581395,,
5.72,5.59,2.325581395,,
5.54,5.59,0.894454383,,
5.54,5.59,0.894454383,,
5.88,5.59,5.18783542,,
5.88,5.59,5.18783542,,
5.79,5.6,3.392857143,,
5.79,5.6,3.392857143,,
5.31,5.6,5.178571429,,
5.31,5.6,5.178571429,,
5.6,5.6,0,,
5.6,5.6,0,,
5.78,5.61,3.03030303,,
5.78,5.61,3.03030303,,
5.87,5.61,4.634581105,,
5.87,5.61,4.634581105,,
5.23,5.62,6.939501779,,
5.23,5.62,6.939501779,,
5.75,5.62,2.31316726,,
5.75,5.62,2.31316726,,
5.63,5.62,0.177935943,,
5.63,5.62,0.177935943,,
5.79,5.62,3.024911032,,
5.79,5.62,3.024911032,,
5.63,5.62,0.177935943,,
5.63,5.62,0.177935943,,
5.78,5.63,2.664298401,,
5.78,5.63,2.664298401,,
5.63,5.63,0,,
5.63,5.63,0,,
5.58,5.63,0.888099467,,
5.58,5.63,0.888099467,,
5.6,5.63,0.53285968,,
5.6,5.63,0.53285968,,
5.38,5.64,4.609929078,,
5.38,5.64,4.609929078,,
5.72,5.64,1.418439716,,
5.72,5.64,1.418439716,,
5.82,5.64,3.191489362,,
5.82,5.64,3.191489362,,
5.8,5.64,2.836879433,,
5.8,5.64,2.836879433,,
5.69,5.65,0.707964602,,
5.69,5.65,0.707964602,,
5.35,5.65,5.309734513,,
5.35,5.65,5.309734513,,
5.61,5.65,0.707964602,,
5.61,5.65,0.707964602,,
5.78,5.65,2.300884956,,
5.78,5.65,2.300884956,,
5.38,5.65,4.778761062,,
5.38,5.65,4.778761062,,
5.66,5.66,0,,
5.66,5.66,0,,
5.57,5.66,1.590106007,,
5.57,5.66,1.590106007,,
4.16,5.66,26.50176678,,
4.16,5.66,26.50176678,,
5.65,5.66,0.176678445,,
5.65,5.66,0.176678445,,
5.57,5.66,1.590106007,,
5.57,5.66,1.590106007,,
5.46,5.66,3.533568905,,
5.46,5.66,3.533568905,,
5.8,5.67,2.292768959,,
5.8,5.67,2.292768959,,
5.46,5.67,3.703703704,,
5.46,5.67,3.703703704,,
5.57,5.67,1.76366843,,
5.57,5.67,1.76366843,,
5.8,5.67,2.292768959,,
5.8,5.67,2.292768959,,
5.69,5.68,0.176056338,,
5.69,5.68,0.176056338,,
5.78,5.68,1.76056338,,
5.78,5.68,1.76056338,,
5.54,5.68,2.464788732,,
5.54,5.68,2.464788732,,
5.57,5.68,1.936619718,,
5.57,5.68,1.936619718,,
5.72,5.68,0.704225352,,
5.72,5.68,0.704225352,,
5.66,5.68,0.352112676,,
5.66,5.68,0.352112676,,
5.68,5.68,0,,
5.68,5.68,0,,
5.82,5.69,2.284710018,,
5.82,5.69,2.284710018,,
5.66,5.69,0.527240773,,
5.66,5.69,0.527240773,,
5.79,5.69,1.757469244,,
5.79,5.69,1.757469244,,
5.78,5.69,1.58172232,,
5.78,5.69,1.58172232,,
5.88,5.69,3.339191564,,
5.88,5.69,3.339191564,,
5.67,5.69,0.351493849,,
5.67,5.69,0.351493849,,
5.84,5.69,2.636203866,,
5.84,5.69,2.636203866,,
5.69,5.69,0,,
5.69,5.69,0,,
5.56,5.69,2.284710018,,
5.56,5.69,2.284710018,,
5.68,5.7,0.350877193,,
5.68,5.7,0.350877193,,
5.74,5.7,0.701754386,,
5.74,5.7,0.701754386,,
5.46,5.7,4.210526316,,
5.46,5.7,4.210526316,,
5.72,5.71,0.175131349,,
5.72,5.71,0.175131349,,
5.72,5.71,0.175131349,,
5.72,5.71,0.175131349,,
5.76,5.72,0.699300699,,
5.76,5.72,0.699300699,,
5.78,5.72,1.048951049,,
5.78,5.72,1.048951049,,
5.75,5.72,0.524475524,,
5.75,5.72,0.524475524,,
5.46,5.73,4.712041885,,
5.46,5.73,4.712041885,,
5.69,5.73,0.698080279,,
5.69,5.73,0.698080279,,
5.75,5.73,0.34904014,,
5.75,5.73,0.34904014,,
6.04,5.73,5.410122164,,
6.04,5.73,5.410122164,,
5.95,5.73,3.839441536,,
5.95,5.73,3.839441536,,
5.68,5.73,0.872600349,,
5.68,5.73,0.872600349,,
5.93,5.74,3.31010453,,
5.93,5.74,3.31010453,,
5.75,5.74,0.174216028,,
5.75,5.74,0.174216028,,
5.74,5.74,0,,
5.74,5.74,0,,
5.69,5.75,1.043478261,,
5.69,5.75,1.043478261,,
5.75,5.75,0,,
5.75,5.75,0,,
5.56,5.76,3.472222222,,
5.56,5.76,3.472222222,,
5.67,5.76,1.5625,,
5.67,5.76,1.5625,,
5.75,5.76,0.173611111,,
5.75,5.76,0.173611111,,
5.82,5.77,0.866551127,,
5.82,5.77,0.866551127,,
5.94,5.77,2.94627383,,
5.94,5.77,2.94627383,,
5.82,5.77,0.866551127,,
5.82,5.77,0.866551127,,
5.68,5.77,1.559792028,,
5.68,5.77,1.559792028,,
5.85,5.77,1.386481802,,
5.85,5.77,1.386481802,,
5.48,5.77,5.025996534,,
5.48,5.77,5.025996534,,
6.29,5.78,8.823529412,,
6.29,5.78,8.823529412,,
6.32,5.78,9.342560554,,
6.32,5.78,9.342560554,,
5.72,5.78,1.038062284,,
5.72,5.78,1.038062284,,
5.78,5.78,0,,
5.78,5.78,0,,
5.68,5.78,1.730103806,,
5.68,5.78,1.730103806,,
5.95,5.78,2.941176471,,
5.95,5.78,2.941176471,,
5.66,5.78,2.076124567,,
5.66,5.78,2.076124567,,
6.16,5.79,6.390328152,,
6.16,5.79,6.390328152,,
5.75,5.79,0.690846287,,
5.75,5.79,0.690846287,,
5.89,5.79,1.727115717,,
5.89,5.79,1.727115717,,
5.82,5.79,0.518134715,,
5.82,5.79,0.518134715,,
5.88,5.79,1.554404145,,
5.88,5.79,1.554404145,,
5.57,5.79,3.799654577,,
5.57,5.79,3.799654577,,
5.82,5.8,0.344827586,,
5.82,5.8,0.344827586,,
5.69,5.8,1.896551724,,
5.69,5.8,1.896551724,,
6.17,5.8,6.379310345,,
6.17,5.8,6.379310345,,
5.8,5.8,0,,
5.8,5.8,0,,
5.99,5.8,3.275862069,,
5.99,5.8,3.275862069,,
6.16,5.8,6.206896552,,
6.16,5.8,6.206896552,,
5.73,5.81,1.376936317,,
5.73,5.81,1.376936317,,
5.88,5.81,1.204819277,,
5.88,5.81,1.204819277,,
5.88,5.81,1.204819277,,
5.88,5.81,1.204819277,,
5.85,5.82,0.515463918,,
5.85,5.82,0.515463918,,
5.83,5.83,0,,
5.83,5.83,0,,
6.05,5.83,3.773584906,,
6.05,5.83,3.773584906,,
5.51,5.83,5.488850772,,
5.51,5.83,5.488850772,,
5.81,5.83,0.343053173,,
5.81,5.83,0.343053173,,
5.81,5.84,0.51369863,,
5.81,5.84,0.51369863,,
5.83,5.84,0.171232877,,
5.83,5.84,0.171232877,,
5.89,5.84,0.856164384,,
5.89,5.84,0.856164384,,
6.12,5.84,4.794520548,,
6.12,5.84,4.794520548,,
5.84,5.84,0,,
5.84,5.84,0,,
5.63,5.85,3.760683761,,
5.63,5.85,3.760683761,,
6.2,5.85,5.982905983,,
6.2,5.85,5.982905983,,
6.08,5.85,3.931623932,,
6.08,5.85,3.931623932,,
5.69,5.85,2.735042735,,
5.69,5.85,2.735042735,,
5.49,5.85,6.153846154,,
5.49,5.85,6.153846154,,
5.63,5.85,3.760683761,,
5.63,5.85,3.760683761,,
5.91,5.86,0.853242321,,
5.91,5.86,0.853242321,,
5.66,5.86,3.412969283,,
5.66,5.86,3.412969283,,
5.92,5.86,1.023890785,,
5.92,5.86,1.023890785,,
6.08,5.86,3.754266212,,
6.08,5.86,3.754266212,,
5.83,5.87,0.681431005,,
5.83,5.87,0.681431005,,
5.63,5.87,4.088586031,,
5.63,5.87,4.088586031,,
5.66,5.87,3.577512777,,
5.66,5.87,3.577512777,,
5.63,5.88,4.25170068,,
5.63,5.88,4.25170068,,
5.89,5.88,0.170068027,,
5.89,5.88,0.170068027,,
5.49,5.88,6.632653061,,
5.49,5.88,6.632653061,,
5.92,5.88,0.680272109,,
5.92,5.88,0.680272109,,
6.16,5.88,4.761904762,,
6.16,5.88,4.761904762,,
5.83,5.88,0.850340136,,
5.83,5.88,0.850340136,,
5.79,5.89,1.697792869,,
5.79,5.89,1.697792869,,
5.95,5.89,1.018675722,,
5.95,5.89,1.018675722,,
5.88,5.89,0.169779287,,
5.88,5.89,0.169779287,,
5.96,5.89,1.188455008,,
5.96,5.89,1.188455008,,
5.83,5.89,1.018675722,,
5.83,5.89,1.018675722,,
5.84,5.9,1.016949153,,
5.84,5.9,1.016949153,,
6.13,5.9,3.898305085,,
6.13,5.9,3.898305085,,
5.9,5.9,0,,
5.9,5.9,0,,
6.39,5.9,8.305084746,,
6.39,5.9,8.305084746,,
6.12,5.91,3.553299492,,
6.12,5.91,3.553299492,,
5.72,5.91,3.214890017,,
5.72,5.91,3.214890017,,
5.83,5.91,1.353637902,,
5.83,5.91,1.353637902,,
6.28,5.91,6.260575296,,
6.28,5.91,6.260575296,,
5.75,5.91,2.707275804,,
5.75,5.91,2.707275804,,
5.61,5.91,5.076142132,,
5.61,5.91,5.076142132,,
6.11,5.91,3.384094755,,
6.11,5.91,3.384094755,,
5.88,5.92,0.675675676,,
5.88,5.92,0.675675676,,
5.63,5.92,4.898648649,,
5.63,5.92,4.898648649,,
5.85,5.93,1.349072513,,
5.85,5.93,1.349072513,,
6.04,5.93,1.854974705,,
6.04,5.93,1.854974705,,
5.92,5.93,0.168634064,,
5.92,5.93,0.168634064,,
6.02,5.93,1.517706577,,
6.02,5.93,1.517706577,,
5.99,5.93,1.011804384,,
5.99,5.93,1.011804384,,
6.16,5.94,3.703703704,,
6.16,5.94,3.703703704,,
5.9,5.94,0.673400673,,
5.9,5.94,0.673400673,,
5.88,5.94,1.01010101,,
5.88,5.94,1.01010101,,
5.92,5.94,0.336700337,,
5.92,5.94,0.336700337,,
5.92,5.94,0.336700337,,
5.92,5.94,0.336700337,,
5.69,5.95,4.369747899,,
5.69,5.95,4.369747899,,
5.78,5.95,2.857142857,,
5.78,5.95,2.857142857,,
6.39,5.95,7.394957983,,
6.39,5.95,7.394957983,,
5.95,5.95,0,,
5.95,5.95,0,,
6.04,5.96,1.342281879,,
6.04,5.96,1.342281879,,
5.57,5.96,6.543624161,,
5.57,5.96,6.543624161,,
6.16,5.96,3.355704698,,
6.16,5.96,3.355704698,,
5.92,5.96,0.67114094,,
5.92,5.96,0.67114094,,
6.08,5.97,1.842546064,,
6.08,5.97,1.842546064,,
6.08,5.97,1.842546064,,
6.08,5.97,1.842546064,,
6.39,5.97,7.035175879,,
6.39,5.97,7.035175879,,
6.01,5.97,0.67001675,,
6.01,5.97,0.67001675,,
5.83,5.98,2.508361204,,
5.83,5.98,2.508361204,,
5.94,5.98,0.668896321,,
5.94,5.98,0.668896321,,
6.29,5.98,5.183946488,,
6.29,5.98,5.183946488,,
5.92,5.99,1.168614357,,
5.92,5.99,1.168614357,,
5.72,5.99,4.507512521,,
5.72,5.99,4.507512521,,
6.04,5.99,0.834724541,,
6.04,5.99,0.834724541,,
6.32,5.99,5.50918197,,
6.32,5.99,5.50918197,,
6.45,6,7.5,,
6.45,6,7.5,,
5.92,6,1.333333333,,
5.92,6,1.333333333,,
5.95,6,0.833333333,,
5.95,6,0.833333333,,
5.99,6,0.166666667,,
5.99,6,0.166666667,,
5.99,6,0.166666667,,
5.99,6,0.166666667,,
6.28,6,4.666666667,,
6.28,6,4.666666667,,
5.95,6,0.833333333,,
5.95,6,0.833333333,,
6.17,6,2.833333333,,
6.17,6,2.833333333,,
5.99,6.01,0.332778702,,
5.99,6.01,0.332778702,,
5.9,6.01,1.830282862,,
5.9,6.01,1.830282862,,
6.13,6.01,1.996672213,,
6.13,6.01,1.996672213,,
5.66,6.01,5.823627288,,
5.66,6.01,5.823627288,,
6.34,6.01,5.490848586,,
6.34,6.01,5.490848586,,
5.99,6.02,0.49833887,,
5.99,6.02,0.49833887,,
6.02,6.02,0,,
6.02,6.02,0,,
5.91,6.02,1.827242525,,
5.91,6.02,1.827242525,,
6.02,6.03,0.165837479,,
6.02,6.03,0.165837479,,
6.23,6.03,3.316749585,,
6.23,6.03,3.316749585,,
5.47,6.03,9.286898839,,
5.47,6.03,9.286898839,,
6.19,6.03,2.653399668,,
6.19,6.03,2.653399668,,
5.92,6.03,1.824212272,,
5.92,6.03,1.824212272,,
6.03,6.03,0,,
6.03,6.03,0,,
5.96,6.03,1.160862355,,
5.96,6.03,1.160862355,,
5.86,6.03,2.819237148,,
5.86,6.03,2.819237148,,
6.13,6.04,1.490066225,,
6.13,6.04,1.490066225,,
5.95,6.04,1.490066225,,
5.95,6.04,1.490066225,,
5.88,6.04,2.649006623,,
5.88,6.04,2.649006623,,
5.92,6.04,1.986754967,,
5.92,6.04,1.986754967,,
6.11,6.04,1.158940397,,
6.11,6.04,1.158940397,,
5.85,6.04,3.145695364,,
5.85,6.04,3.145695364,,
6.13,6.05,1.32231405,,
6.13,6.05,1.32231405,,
5.72,6.05,5.454545455,,
5.72,6.05,5.454545455,,
6.28,6.05,3.801652893,,
6.28,6.05,3.801652893,,
5.97,6.05,1.32231405,,
