Prediction,Actual,% Difference
116.656,3.71,3044.366577
116.656,3.71,3044.366577
72.95,4.39,1561.731207
72.95,4.39,1561.731207
4.344,4.48,3.035714286
4.344,4.48,3.035714286
4.768,4.63,2.980561555
4.768,4.63,2.980561555
4.752,4.73,0.465116279
4.752,4.73,0.465116279
43.428,4.74,816.2025316
43.428,4.74,816.2025316
157.06,4.84,3145.041322
157.06,4.84,3145.041322
4.906,4.87,0.739219713
4.906,4.87,0.739219713
5.188,4.91,5.66191446
5.188,4.91,5.66191446
43.508,4.94,780.7287449
43.508,4.94,780.7287449
4.758,4.95,3.878787879
4.758,4.95,3.878787879
93.22,4.96,1779.435484
93.22,4.96,1779.435484
137.04,4.96,2662.903226
137.04,4.96,2662.903226
4.782,4.99,4.168336673
4.782,4.99,4.168336673
5.154,5.03,2.465208748
5.154,5.03,2.465208748
126.332,5.06,2396.679842
126.332,5.06,2396.679842
4.946,5.09,2.829076621
4.946,5.09,2.829076621
93.186,5.09,1730.766208
93.186,5.09,1730.766208
91.704,5.1,1698.117647
91.704,5.1,1698.117647
5.154,5.1,1.058823529
5.154,5.1,1.058823529
5.188,5.12,1.328125
5.188,5.12,1.328125
134.756,5.12,2531.953125
134.756,5.12,2531.953125
4.752,5.13,7.368421053
4.752,5.13,7.368421053
5.368,5.16,4.031007752
5.368,5.16,4.031007752
5.836,5.2,12.23076923
5.836,5.2,12.23076923
47.138,5.22,803.0268199
47.138,5.22,803.0268199
47.582,5.22,811.532567
47.582,5.22,811.532567
116.656,5.22,2134.789272
116.656,5.22,2134.789272
47.582,5.22,811.532567
47.582,5.22,811.532567
136.5,5.23,2509.942639
136.5,5.23,2509.942639
5.226,5.23,0.076481836
5.226,5.23,0.076481836
5.226,5.24,0.267175573
5.226,5.24,0.267175573
5.404,5.25,2.933333333
5.404,5.25,2.933333333
92.768,5.27,1660.303605
92.768,5.27,1660.303605
5.504,5.27,4.440227704
5.504,5.27,4.440227704
45.616,5.29,762.3062382
45.616,5.29,762.3062382
5.392,5.3,1.735849057
5.392,5.3,1.735849057
137.04,5.31,2480.79096
137.04,5.31,2480.79096
101.86,5.33,1811.069418
101.86,5.33,1811.069418
5.468,5.33,2.589118199
5.468,5.33,2.589118199
5.744,5.34,7.565543071
5.744,5.34,7.565543071
46.976,5.36,776.4179104
46.976,5.36,776.4179104
5.334,5.37,0.670391061
5.334,5.37,0.670391061
143.27,5.39,2558.070501
143.27,5.39,2558.070501
5.6,5.39,3.896103896
5.6,5.39,3.896103896
5.398,5.4,0.037037037
5.398,5.4,0.037037037
92.408,5.43,1601.804788
92.408,5.43,1601.804788
52.11,5.43,859.6685083
52.11,5.43,859.6685083
92.744,5.44,1604.852941
92.744,5.44,1604.852941
5.56,5.44,2.205882353
5.56,5.44,2.205882353
5.642,5.44,3.713235294
5.642,5.44,3.713235294
5.63,5.45,3.302752294
5.63,5.45,3.302752294
5.826,5.45,6.899082569
5.826,5.45,6.899082569
5.646,5.46,3.406593407
5.646,5.46,3.406593407
5.478,5.46,0.32967033
5.478,5.46,0.32967033
5.366,5.47,1.901279707
5.366,5.47,1.901279707
100.238,5.48,1729.160584
100.238,5.48,1729.160584
52.658,5.48,860.9124088
52.658,5.48,860.9124088
5.552,5.48,1.313868613
5.552,5.48,1.313868613
5.458,5.49,0.58287796
5.458,5.49,0.58287796
5.46,5.49,0.546448087
5.46,5.49,0.546448087
5.648,5.5,2.690909091
5.648,5.5,2.690909091
5.376,5.5,2.254545455
5.376,5.5,2.254545455
94.648,5.5,1620.872727
94.648,5.5,1620.872727
5.334,5.5,3.018181818
5.334,5.5,3.018181818
5.634,5.51,2.250453721
5.634,5.51,2.250453721
5.586,5.52,1.195652174
5.586,5.52,1.195652174
98.314,5.53,1677.830018
98.314,5.53,1677.830018
98.314,5.53,1677.830018
98.314,5.53,1677.830018
5.442,5.53,1.591320072
5.442,5.53,1.591320072
5.544,5.54,0.072202166
5.544,5.54,0.072202166
5.398,5.54,2.563176895
5.398,5.54,2.563176895
136.31,5.54,2360.469314
136.31,5.54,2360.469314
5.708,5.54,3.032490975
5.708,5.54,3.032490975
5.396,5.54,2.599277978
5.396,5.54,2.599277978
5.658,5.55,1.945945946
5.658,5.55,1.945945946
126.332,5.55,2176.252252
126.332,5.55,2176.252252
5.624,5.56,1.151079137
5.624,5.56,1.151079137
100.238,5.56,1702.841727
100.238,5.56,1702.841727
5.464,5.56,1.726618705
5.464,5.56,1.726618705
5.544,5.56,0.287769784
5.544,5.56,0.287769784
5.672,5.56,2.014388489
5.672,5.56,2.014388489
5.692,5.59,1.824686941
5.692,5.59,1.824686941
5.664,5.59,1.323792487
5.664,5.59,1.323792487
52.96,5.59,847.4060823
52.96,5.59,847.4060823
100.338,5.6,1691.75
100.338,5.6,1691.75
5.51,5.6,1.607142857
5.51,5.6,1.607142857
5.606,5.6,0.107142857
5.606,5.6,0.107142857
5.664,5.61,0.962566845
5.664,5.61,0.962566845
5.848,5.61,4.242424242
5.848,5.61,4.242424242
5.352,5.62,4.768683274
5.352,5.62,4.768683274
5.708,5.62,1.565836299
5.708,5.62,1.565836299
97.074,5.62,1627.295374
97.074,5.62,1627.295374
52.99,5.62,842.8825623
52.99,5.62,842.8825623
51.45,5.62,815.480427
51.45,5.62,815.480427
5.692,5.63,1.101243339
5.692,5.63,1.101243339
5.588,5.63,0.746003552
5.588,5.63,0.746003552
5.396,5.63,4.156305506
5.396,5.63,4.156305506
5.586,5.63,0.781527531
5.586,5.63,0.781527531
92.408,5.64,1538.439716
92.408,5.64,1538.439716
5.692,5.64,0.921985816
5.692,5.64,0.921985816
5.722,5.64,1.453900709
5.722,5.64,1.453900709
51.988,5.64,821.7730496
51.988,5.64,821.7730496
5.736,5.65,1.522123894
5.736,5.65,1.522123894
5.542,5.65,1.911504425
5.542,5.65,1.911504425
5.758,5.65,1.911504425
5.758,5.65,1.911504425
5.766,5.65,2.053097345
5.766,5.65,2.053097345
48.836,5.65,764.3539823
48.836,5.65,764.3539823
5.74,5.66,1.413427562
5.74,5.66,1.413427562
5.642,5.66,0.318021201
5.642,5.66,0.318021201
104.342,5.66,1743.498233
104.342,5.66,1743.498233
5.664,5.66,0.070671378
5.664,5.66,0.070671378
96.954,5.66,1612.968198
96.954,5.66,1612.968198
5.588,5.66,1.272084806
5.588,5.66,1.272084806
98.314,5.67,1633.932981
98.314,5.67,1633.932981
5.588,5.67,1.446208113
5.588,5.67,1.446208113
142.586,5.67,2414.744268
142.586,5.67,2414.744268
51.988,5.67,816.8959436
51.988,5.67,816.8959436
5.668,5.68,0.211267606
5.668,5.68,0.211267606
5.664,5.68,0.281690141
5.664,5.68,0.281690141
5.532,5.68,2.605633803
5.532,5.68,2.605633803
96.954,5.68,1606.93662
96.954,5.68,1606.93662
5.578,5.68,1.795774648
5.578,5.68,1.795774648
5.74,5.68,1.056338028
5.74,5.68,1.056338028
5.738,5.68,1.021126761
5.738,5.68,1.021126761
5.722,5.69,0.562390158
5.722,5.69,0.562390158
5.754,5.69,1.124780316
5.754,5.69,1.124780316
53.046,5.69,832.2671353
53.046,5.69,832.2671353
5.672,5.69,0.316344464
5.672,5.69,0.316344464
5.768,5.69,1.370826011
5.768,5.69,1.370826011
5.502,5.69,3.304042179
5.502,5.69,3.304042179
5.898,5.69,3.655536028
5.898,5.69,3.655536028
5.704,5.69,0.246045694
5.704,5.69,0.246045694
5.824,5.69,2.355008787
5.824,5.69,2.355008787
5.672,5.7,0.49122807
5.672,5.7,0.49122807
97.414,5.7,1609.017544
97.414,5.7,1609.017544
5.61,5.7,1.578947368
5.61,5.7,1.578947368
5.616,5.71,1.646234676
5.616,5.71,1.646234676
5.72,5.71,0.175131349
5.72,5.71,0.175131349
5.76,5.72,0.699300699
5.76,5.72,0.699300699
5.782,5.72,1.083916084
5.782,5.72,1.083916084
97.094,5.72,1597.447552
97.094,5.72,1597.447552
5.574,5.73,2.722513089
5.574,5.73,2.722513089
5.642,5.73,1.535776614
5.642,5.73,1.535776614
5.77,5.73,0.698080279
5.77,5.73,0.698080279
5.864,5.73,2.338568935
5.864,5.73,2.338568935
5.73,5.73,1.55E-14
5.73,5.73,1.55E-14
5.692,5.73,0.663176265
5.692,5.73,0.663176265
5.85,5.74,1.916376307
5.85,5.74,1.916376307
5.76,5.74,0.348432056
5.76,5.74,0.348432056
5.984,5.74,4.25087108
5.984,5.74,4.25087108
5.642,5.75,1.87826087
5.642,5.75,1.87826087
5.772,5.75,0.382608696
5.772,5.75,0.382608696
5.738,5.76,0.381944444
5.738,5.76,0.381944444
5.754,5.76,0.104166667
5.754,5.76,0.104166667
5.76,5.76,0
5.76,5.76,0
5.826,5.77,0.970537262
5.826,5.77,0.970537262
5.88,5.77,1.906412478
5.88,5.77,1.906412478
5.774,5.77,0.06932409
