Prediction,Actual,Error %
49.57,49.68,0.221417069
49.99,50.05,0.11988012
52.49,50.11,4.749550988
49.99,50.12,0.259377494
53.36,50.34,5.999205403
53.2,50.52,5.30482977
53.13,50.61,4.979253112
54,50.62,6.677202687
53.13,50.79,4.607206143
54,50.8,6.299212598
59.99,50.82,18.04407713
53.85,50.88,5.837264151
53.77,50.94,5.555555556
54,51.16,5.551211884
60.67,51.22,18.44982429
60.67,51.29,18.28816533
51.43,51.44,0.019440124
61.08,51.45,18.71720117
61.3,51.68,18.61455108
61.2,51.94,17.82826338
60.18,52.07,15.57518725
59.19,52.26,13.26061998
62.4,52.28,19.35730681
53.36,52.47,1.696207357
62.61,52.48,19.30259146
52.49,52.52,0.057121097
53.57,52.63,1.786053582
62.68,52.69,18.95995445
52.49,52.81,0.605945844
52.49,52.83,0.643573727
63.17,52.84,19.54958365
52.87,52.9,0.056710775
63.41,52.93,19.7997355
53.36,52.96,0.755287009
53.57,53.05,0.980207352
61.14,53.1,15.14124294
60.27,53.12,13.46009036
63.33,53.16,19.13092551
53.9,53.16,1.392024078
53.2,53.18,0.037608123
53.15,53.26,0.206533984
53.57,53.28,0.544294294
63.07,53.31,18.30800975
53.13,53.37,0.449690838
63.8,53.39,19.49803334
53.36,53.39,0.056190298
53.77,53.42,0.655185324
51.19,53.61,4.514083193
60.38,53.62,12.60723611
53.91,53.64,0.503355705
60.51,53.65,12.78657968
53.13,53.7,1.061452514
60.2,53.75,12
50.74,53.84,5.757800892
60.51,53.85,12.36768802
64.42,53.96,19.38472943
62.59,53.99,15.92887572
51.37,54.05,4.958371878
61.32,54.05,13.45050879
54.94,54.06,1.62782094
61.25,54.1,13.21626617
64.72,54.13,19.56401256
61.25,54.21,12.98653385
63.15,54.26,16.38407667
63.43,54.27,16.87857011
64.95,54.27,19.67938087
61.08,54.38,12.32070614
54.28,54.4,0.220588235
55.08,54.48,1.101321586
61.2,54.51,12.27297744
60.37,54.52,10.73000734
55,54.63,0.677283544
54.34,54.63,0.530843859
54.78,54.72,0.109649123
60.69,54.73,10.88982277
62.94,54.74,14.97990501
54.71,54.74,0.054804531
63.89,54.76,16.67275383
55.06,54.76,0.547845142
54.47,54.78,0.565899963
55.45,54.79,1.204599379
54.74,54.81,0.127713921
60.56,54.82,10.47063116
54.04,54.85,1.476754786
69.28,54.87,26.26207399
62.23,54.87,13.41352287
54.74,54.88,0.255102041
54.63,54.88,0.455539359
54.19,54.88,1.25728863
54.04,54.9,1.566484517
63.73,54.94,15.99927193
54.95,54.98,0.054565296
53.19,55.01,3.308489366
54.88,55.04,0.290697674
61.65,55.05,11.98910082
54.89,55.05,0.290644868
61.62,55.06,11.91427534
54.63,55.08,0.816993464
54.58,55.09,0.925757851
70.44,55.13,27.77072374
71.8,55.16,30.16678753
62.33,55.19,12.93712629
61.18,55.22,10.79319087
71.73,55.25,29.8280543
55.26,55.28,0.03617945
70.22,55.32,26.93420101
62.59,55.32,13.1417209
66.07,55.35,19.36766034
54.7,55.35,1.174345077
62.45,55.35,12.82746161
64.33,55.37,16.18204804
55.84,55.42,0.757849152
70.13,55.42,26.54276435
64.88,55.43,17.04852968
71.29,55.44,28.58946609
61.58,55.45,11.05500451
62.33,55.46,12.38730617
58.28,55.46,5.084745763
55.06,55.47,0.739138273
71.8,55.47,29.43933658
54.95,55.48,0.955299207
54.46,55.53,1.926886368
61.43,55.58,10.52536884
55.12,55.6,0.863309353
63.49,55.62,14.14958648
70.13,55.62,26.08773822
55.59,55.62,0.053937433
71.29,55.63,28.15027863
55.76,55.64,0.215672178
78.43,55.65,40.9344115
71.73,55.72,28.73295047
71.09,55.72,27.58435032
70.97,55.78,27.23198279
72.82,55.86,30.36161833
64.51,55.87,15.46447109
64.99,55.88,16.3027917
61.18,55.88,9.484609878
55.63,55.91,0.500804865
65.36,55.92,16.88125894
55.97,55.92,0.089413448
72.9,55.93,30.3414983
63.63,55.94,13.74687165
62.48,55.94,11.6910976
55.89,55.95,0.107238606
74.46,55.96,33.05932809
55.93,55.98,0.089317613
66.18,56,18.17857143
65.14,56,16.32142857
73.49,56.01,31.20871273
55.88,56.01,0.23210141
71.29,56.02,27.2581221
72.93,56.02,30.18564798
64.69,56.05,15.41480821
64.88,56.05,15.75379126
65.12,56.06,16.1612558
56.19,56.06,0.231894399
56.39,56.08,0.55278174
79.32,56.1,41.39037433
56.04,56.1,0.106951872
65.14,56.11,16.09338799
79.32,56.17,41.21417127
64.66,56.2,15.05338078
73.09,56.21,30.03024373
56.08,56.21,0.231275574
61.36,56.23,9.12324382
64.59,56.25,14.82666667
56.34,56.25,0.16
64.14,56.29,13.94563866
67.59,56.29,20.07461361
65.14,56.29,15.72215314
57.02,56.32,1.242897727
56.32,56.34,0.035498758
79.87,56.35,41.73913043
63.63,56.36,12.8992193
56.96,56.39,1.010817521
67.39,56.39,19.50700479
65.14,56.4,15.4964539
57.12,56.4,1.276595745
56.14,56.41,0.478638539
73.49,56.41,30.27831945
65.93,56.43,16.83501684
55.93,56.47,0.956259961
65.19,56.47,15.44182752
56.39,56.47,0.141668142
56.96,56.48,0.849858357
74.15,56.49,31.2621703
73.92,56.5,30.83185841
66.24,56.5,17.23893805
65.59,56.5,16.08849558
70.37,56.55,24.43854996
65.26,56.55,15.40229885
65.29,56.56,15.43493635
66.38,56.57,17.341347
55.21,56.59,2.438593391
72.9,56.59,28.82134653
80.16,56.6,41.6254417
65.93,56.61,16.46352235
56.18,56.64,0.812146893
66.16,56.65,16.78729038
56.93,56.7,0.405643739
56.72,56.71,0.017633574
66.59,56.74,17.3598872
66.47,56.74,17.14839619
66.14,56.74,16.56679591
73.26,56.81,28.95616969
57.05,56.82,0.404787047
66.24,56.84,16.53764954
56.36,56.86,0.879352796
56.96,56.86,0.175870559
73.82,56.86,29.82764685
66.01,56.88,16.05133615
80.03,56.88,40.69971871
66.24,56.89,16.43522587
63.1,56.93,10.83787107
73.86,56.93,29.73827507
57.35,56.96,0.684691011
57,56.96,0.070224719
68.3,56.97,19.88766017
62.92,56.99,10.40533427
56.95,56.99,0.070187752
74.15,57,30.0877193
63.18,57,10.84210526
66.97,57.01,17.47061919
101.44,57.03,77.87129581
74.41,57.03,30.4751885
69.52,57.04,21.87938289
66.47,57.04,16.53225806
56.68,57.05,0.6485539
57.02,57.06,0.070101647
71.3,57.1,24.86865149
71.3,57.11,24.8467869
63.19,57.14,10.5880294
66.56,57.16,16.44506648
74.61,57.16,30.5283415
66.12,57.17,15.65506384
56.95,57.2,0.437062937
56.78,57.2,0.734265734
60.33,57.21,5.453592029
63.18,57.21,10.43523859
